title,article,etc,time,current_time,like,comment,district
눈 너무 이쁘네요,경상도 사람이라 눈 내리는거만 봐도 이뻐요,"혜화동
·
일반
·
약 1시간 전",약 1시간 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
1",종로구
타로 관심 있으신분 있나요?,안녕하세요! 2년동안 타로를 공부하고 있어요! 취미로 타로 봐드리고 있으니 많은 신청주세요~ 우선 화상으로 05-99년생부터 보고 있으니 참고해주세욥~,"명륜4가
·
취미
·
약 2시간 전",약 2시간 전,2024-11-28 00:35:39,"좋아요 수
1","댓글 수
0",종로구
첫눈,올해 첫눈~😛,"평창동
·
운동
·
약 5시간 전",약 5시간 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
광화문 마이크로스튜디오,혹시 경희궁의 아침에 위치한 마이크로스튜디오에서 운동하시는 분 계신가요? 정보가 하나도 없어서 어떤지 몰라서요. pt로 해주실 트레이너님도 궁금합니다~,"내수동
·
생활/편의
·
약 6시간 전",약 6시간 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
하얀 눈 옷을 포근하게 입었어요,첫 눈인데 많이 왔네요,"삼청동
·
동네풍경
·
약 7시간 전",약 7시간 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
감사합니다!,"혹시 업체에서 볼 수도 있어서 글 내용은 지우고 댓글 달아주신 분들 모두 너무 감사합니다!!ㅜㅜ 막막했는데.. 오늘은 통화가 불가했어서, 내일 다시 전화해보고 저녁 8시 전까지 말씀드리겠습니다.. 아마 금요일 저녁이나 토요일이 현장으로 가는 결전(?)의 날이 될 것 같은데 혹시 가능하시면 동행 부탁드리겠습니다..ㅠㅠ","숭인제1동
·
일반
·
약 7시간 전",약 7시간 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
25",종로구
에어팟 잃어버리신분 찾아요,한시간전쯤 아이랑 눈놀이하며 걸어오다가 맥도날드쪽에서 아이가 주웠어요 #에어팟,"이화동
·
분실/실종
·
약 8시간 전",약 8시간 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
첫눈,첫눈 함박눈이 펑 펑 내리고 있네요 경치 끝내 주네요,"체부동
·
동네풍경
·
약 11시간 전",약 11시간 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
피크민 길 서치 눈 비,"피크민 길만 서치되는 곳 아실까요?? 눈, 비 피크민 모으고 싶은데ㅜㅠ 돌아다녀봐도 못찾겠어용..","숭인동
·
취미
·
약 12시간 전",약 12시간 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
눈오리 출몰,"네 제가 만들어두었어요 ㅋㅋㅋ 아침에 눈왔다고, 기뻐하며 눈오리 집게 챙겨서 출근하는 직장인.. 나야나! ㅋㅋㅋㅋㅋㅋㅋㅋ 혹시 발견하는 분들 인증샷 찍어유... #눈오리 #출근","종로1가
·
취미
·
약 13시간 전",약 13시간 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
